Acacourse_id,Course_id,Academy_id,Course_name,photobook,Study_type,Catalog_type,Study_level,Language_id,Member_id,totstudent,Detail_course,price,Price_new,status,namepartsup,linkweb,Sourceqr,Locaton,Provice_id,total_hours,credit_value,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
AC-0001,CRS-0001,ACA-0001,Python for Data Science,cover_CRS-0001.jpg,Hybrid,Soft Skill,Advanced,1,,1230,รายละเอียดหลักสูตร Python for Data Science,1990,0,active,ประเดิม บุญศล,https://academy.l2e.io/course/CRS-0001,https://qr.l2e.io/CRS-0001,เชียงใหม่,34,50,7,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0002,CRS-0002,ACA-0003,Machine Learning Bootcamp,cover_CRS-0002.jpg,Online,Soft Skill,Intermediate,1,MEM-COMP-202600001-1,2789,รายละเอียดหลักสูตร Machine Learning Bootcamp,5990,4990,inactive,คมกฤชญ์ ธุวะนุติ์,https://academy.l2e.io/course/CRS-0002,https://qr.l2e.io/CRS-0002,เชียงใหม่,49,65,7,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0003,CRS-0003,ACA-0002,Docker & Kubernetes Essential,cover_CRS-0003.jpg,Hybrid,Soft Skill,Advanced,2,MEM-COMP-202600001-1,519,รายละเอียดหลักสูตร Docker & Kubernetes Essential,0,799,draft,เนตรฤดี ธนรักษ์,https://academy.l2e.io/course/CRS-0003,https://qr.l2e.io/CRS-0003,Online,6,9,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0004,CRS-0004,ACA-0005,Cloud Architecture with AWS,cover_CRS-0004.jpg,Onsite,Business,Beginner,2,MEM-COMP-202600001-1,228,รายละเอียดหลักสูตร Cloud Architecture with AWS,5990,799,draft,จิณภัทตา ดาบเพ็ชร์,https://academy.l2e.io/course/CRS-0004,https://qr.l2e.io/CRS-0004,Online,26,61,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0005,CRS-0005,ACA-0002,React Front-End Developer,cover_CRS-0005.jpg,Hybrid,Soft Skill,Advanced,1,MEM-COMP-202600001-1,3067,รายละเอียดหลักสูตร React Front-End Developer,5990,2990,draft,ทองสิริ พานเกล้า,https://academy.l2e.io/course/CRS-0005,https://qr.l2e.io/CRS-0005,เชียงใหม่,44,40,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0006,CRS-0006,ACA-0005,Node.js Backend Development,cover_CRS-0006.jpg,Onsite,Soft Skill,Advanced,2,MEM-COMP-202600001-1,3247,รายละเอียดหลักสูตร Node.js Backend Development,5990,799,active,อดิสรณ์ นิติสาขา,https://academy.l2e.io/course/CRS-0006,https://qr.l2e.io/CRS-0006,Online,61,13,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0007,CRS-0007,ACA-0002,Cybersecurity Fundamentals,cover_CRS-0007.jpg,Onsite,Soft Skill,Intermediate,1,,4404,รายละเอียดหลักสูตร Cybersecurity Fundamentals,3990,0,draft,จันทภา แก้วชลคราม,https://academy.l2e.io/course/CRS-0007,https://qr.l2e.io/CRS-0007,Online,67,2,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0008,CRS-0008,ACA-0004,SQL Mastery for Data Analysts,cover_CRS-0008.jpg,Onsite,Technical,Beginner,2,,718,รายละเอียดหลักสูตร SQL Mastery for Data Analysts,990,4990,active,ณัฐพิชา ถนอมมนุษย์,https://academy.l2e.io/course/CRS-0008,https://qr.l2e.io/CRS-0008,Online,52,72,6,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0009,CRS-0009,ACA-0001,Agile Project Management,cover_CRS-0009.jpg,Online,Soft Skill,Advanced,1,MEM-COMP-202600001-1,1579,รายละเอียดหลักสูตร Agile Project Management,990,2990,draft,ทานตะวัน นุตตาร,https://academy.l2e.io/course/CRS-0009,https://qr.l2e.io/CRS-0009,Online,27,32,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0010,CRS-0010,ACA-0002,Power BI for Business Intelligence,cover_CRS-0010.jpg,Onsite,Business,Advanced,2,,3996,รายละเอียดหลักสูตร Power BI for Business Intelligence,1990,0,active,เพียงกมล ฉิมพาลี,https://academy.l2e.io/course/CRS-0010,https://qr.l2e.io/CRS-0010,Online,72,18,5,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0011,CRS-0011,ACA-0004,Python for Data Science,cover_CRS-0011.jpg,Online,Technical,Advanced,1,MEM-COMP-202600001-1,3216,รายละเอียดหลักสูตร Python for Data Science,1990,1499,draft,ชิดชนก ตระกูลบุญ,https://academy.l2e.io/course/CRS-0011,https://qr.l2e.io/CRS-0011,กรุงเทพมหานคร,40,7,4,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0012,CRS-0012,ACA-0004,Machine Learning Bootcamp,cover_CRS-0012.jpg,Online,Technical,Advanced,1,MEM-COMP-202600001-1,111,รายละเอียดหลักสูตร Machine Learning Bootcamp,990,2990,inactive,วรดาพร ยาปะโลหิต,https://academy.l2e.io/course/CRS-0012,https://qr.l2e.io/CRS-0012,เชียงใหม่,23,46,8,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0013,CRS-0013,ACA-0003,Docker & Kubernetes Essential,cover_CRS-0013.jpg,Onsite,Business,Advanced,1,MEM-COMP-202600001-1,2542,รายละเอียดหลักสูตร Docker & Kubernetes Essential,5990,0,inactive,จินต์จุฑา นิระหานี,https://academy.l2e.io/course/CRS-0013,https://qr.l2e.io/CRS-0013,Online,37,26,7,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0014,CRS-0014,ACA-0003,Cloud Architecture with AWS,cover_CRS-0014.jpg,Hybrid,Business,Advanced,1,MEM-COMP-202600001-1,3566,รายละเอียดหลักสูตร Cloud Architecture with AWS,0,0,draft,พลภูมิ ถนัดอักษร,https://academy.l2e.io/course/CRS-0014,https://qr.l2e.io/CRS-0014,กรุงเทพมหานคร,28,58,2,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0015,CRS-0015,ACA-0002,React Front-End Developer,cover_CRS-0015.jpg,Online,Business,Intermediate,1,,3939,รายละเอียดหลักสูตร React Front-End Developer,1990,1499,inactive,ภานุวัตร ศรีวงค์,https://academy.l2e.io/course/CRS-0015,https://qr.l2e.io/CRS-0015,กรุงเทพมหานคร,3,64,10,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0016,CRS-0016,ACA-0003,Node.js Backend Development,cover_CRS-0016.jpg,Online,Business,Beginner,1,MEM-COMP-202600001-1,3335,รายละเอียดหลักสูตร Node.js Backend Development,1990,4990,inactive,นิติยา นาคพันธุ์,https://academy.l2e.io/course/CRS-0016,https://qr.l2e.io/CRS-0016,เชียงใหม่,39,58,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0017,CRS-0017,ACA-0001,Cybersecurity Fundamentals,cover_CRS-0017.jpg,Onsite,Technical,Beginner,1,,3312,รายละเอียดหลักสูตร Cybersecurity Fundamentals,0,0,active,ใจกลาง นฤทุกข์,https://academy.l2e.io/course/CRS-0017,https://qr.l2e.io/CRS-0017,Online,74,56,8,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0018,CRS-0018,ACA-0001,SQL Mastery for Data Analysts,cover_CRS-0018.jpg,Hybrid,Technical,Intermediate,2,,3330,รายละเอียดหลักสูตร SQL Mastery for Data Analysts,1990,4990,active,ปฐวีกานต์ ธรรมเมธา,https://academy.l2e.io/course/CRS-0018,https://qr.l2e.io/CRS-0018,เชียงใหม่,28,79,9,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
AC-0019,CRS-0019,ACA-0003,Agile Project Management,cover_CRS-0019.jpg,Hybrid,Technical,Advanced,1,MEM-COMP-202600001-1,3978,รายละเอียดหลักสูตร Agile Project Management,1990,0,draft,วรรณรัตน์ ฉัตรอภิเที่ยงค่ำ,https://academy.l2e.io/course/CRS-0019,https://qr.l2e.io/CRS-0019,เชียงใหม่,43,15,4,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
